dia,casos_acumulados
0,30
1,35
2,39
3,45
4,53
5,57
6,61
7,65
8,69
9,79
10,93
11,106
12,118
13,131
14,154
15,172
16,192
17,219
18,245
19,279
20,324
21,363
22,396
23,452
24,512
25,582
26,658
27,726
28,824
29,904
30,1008
31,1130
32,1261
33,1398
34,1572
35,1747
36,1926
37,2142
38,2346
39,2575
40,2823
41,3092
42,3355
43,3625
44,3974
45,4276
46,4633
47,5005
48,5337
49,5672
50,6016
51,6357
52,6685
53,7055
54,7388
55,7711
56,8036
57,8350
58,8642
59,8901
60,9143
61,9378
62,9590
63,9809
64,10013
65,10194
66,10342
67,10473
68,10605
69,10721
70,10865
71,10987
72,11086
73,11171
74,11262
75,11346
76,11395
77,11450
78,11491
79,11542
80,11571
81,11602
82,11634
83,11657
84,11683
85,11708
86,11738
87,11756
88,11771
89,11787
90,11793
