hora,consumo_mw
0,49.96
1,47.41
2,46.79
3,44.76
4,45.67
5,46.65
6,49.79
7,53.33
8,55.34
9,54.61
10,54.86
11,54.19
12,55.21
13,52.80
14,55.15
15,54.95
16,55.44
17,59.72
18,62.67
19,62.13
20,58.58
21,58.54
22,50.72
23,50.45
24,50.33
25,49.41
26,47.28
27,46.14
28,43.34
29,45.63
30,48.18
31,52.92
32,54.66
33,54.26
34,57.59
35,58.03
36,57.30
37,57.19
38,52.40
39,53.85
40,57.34
41,57.04
42,60.42
43,65.64
44,58.44
45,57.61
46,57.71
47,50.20
48,48.95
49,50.25
50,48.45
51,46.87
52,45.66
53,46.29
54,46.45
55,50.72
56,52.99
57,54.35
58,54.56
59,57.61
60,53.28
61,56.61
62,52.13
63,53.60
64,55.56
65,59.09
66,60.40
67,63.95
68,60.91
69,58.52
70,55.01
71,52.31
72,51.19
73,51.53
74,47.11
75,46.36
76,45.11
77,45.37
78,49.41
79,47.81
80,54.05
81,53.71
82,56.92
83,55.82
84,58.33
85,55.04
86,53.93
87,54.54
88,55.61
89,58.24
90,61.59
91,63.40
92,61.69
93,57.66
94,57.81
95,53.42
96,50.82
97,48.98
98,49.54
99,46.52
100,45.75
101,47.23
102,49.80
103,53.16
104,53.66
105,53.70
106,56.33
107,57.59
108,58.36
109,54.27
110,54.72
111,53.29
112,52.98
113,58.52
114,61.79
115,61.03
116,60.72
117,57.35
118,53.40
119,50.41
120,45.75
121,44.64
122,41.19
123,40.09
124,37.72
125,40.29
126,44.05
127,42.58
128,49.55
129,48.11
130,50.83
131,49.57
132,49.31
133,51.10
134,49.16
135,46.52
136,50.65
137,53.92
138,52.45
139,60.85
140,53.62
141,53.74
142,48.31
143,46.07
144,45.14
145,42.18
146,42.47
147,40.08
148,39.83
149,38.74
150,42.38
151,45.26
152,48.37
153,49.77
154,48.17
155,51.76
156,51.14
157,51.41
158,47.93
159,51.05
160,46.12
161,53.16
162,60.80
163,56.42
164,56.37
165,52.31
166,48.95
167,46.02
168,49.01
169,47.64
170,46.36
171,45.71
172,45.74
173,46.75
174,47.82
175,51.76
176,53.71
177,57.30
178,58.49
179,53.94
180,53.90
181,55.88
182,54.13
183,52.09
184,55.73
185,58.55
186,62.43
187,62.59
188,61.85
189,55.40
190,56.51
191,52.96
192,47.80
193,51.38
194,48.38
195,45.33
196,44.72
197,47.39
198,49.03
199,51.59
200,53.93
201,56.19
202,53.69
203,58.57
204,55.90
205,54.82
206,54.24
207,52.92
208,56.28
209,58.61
210,59.46
211,63.27
212,61.30
213,57.36
214,53.95
215,53.25
216,50.85
217,49.77
218,48.66
219,48.67
220,47.02
221,46.22
222,45.45
223,53.68
224,53.40
225,55.87
226,58.26
227,58.90
228,55.74
229,55.08
230,54.13
231,52.12
232,53.48
233,58.98
234,59.59
235,62.74
236,61.54
237,58.46
238,59.07
239,52.65
240,52.15
241,47.39
242,48.15
243,47.58
244,44.11
245,48.41
246,52.10
247,48.43
248,53.03
249,57.04
250,55.30
251,57.50
252,56.23
253,55.31
254,52.95
255,56.81
256,58.14
257,60.18
258,60.59
259,64.83
260,61.00
261,59.75
262,58.87
263,53.38
264,52.36
265,48.84
266,47.20
267,46.83
268,46.17
269,48.16
270,49.23
271,51.81
272,55.96
273,55.02
274,57.98
275,58.91
276,54.23
277,56.59
278,58.04
279,56.00
280,57.67
281,59.57
282,62.44
283,62.47
284,62.12
285,58.05
286,56.16
287,53.45
288,43.10
289,42.89
290,41.45
291,43.06
292,39.68
293,39.28
294,41.38
295,45.19
296,49.19
297,50.42
298,52.00
299,49.46
300,53.54
301,48.76
302,49.42
303,46.93
304,51.87
305,52.40
306,54.53
307,55.93
308,56.87
309,50.75
310,51.39
311,45.23
312,44.20
313,43.52
314,41.63
315,40.05
316,42.03
317,40.71
318,43.22
319,44.99
320,49.27
321,50.34
322,49.71
323,53.95
324,50.42
325,49.83
326,49.54
327,48.23
328,49.85
329,54.46
330,55.90
331,54.54
332,55.54
333,53.36
334,49.10
335,46.61
336,52.34
337,52.21
338,49.27
339,45.56
340,46.37
341,46.40
342,49.35
343,51.49
344,52.09
345,57.80
346,56.27
347,57.63
348,57.78
349,56.62
350,57.80
351,54.63
352,56.70
353,60.00
354,62.65
355,63.86
356,60.97
357,56.99
358,53.71
359,54.21
360,49.96
361,50.67
362,46.67
363,47.11
364,46.72
365,47.36
366,47.76
367,53.44
368,52.43
369,54.92
370,55.67
371,57.43
372,60.38
373,56.55
374,55.43
375,53.54
376,57.44
377,61.00
378,59.12
379,64.50
380,61.78
381,59.34
382,55.39
383,54.00
384,53.21
385,48.12
386,48.90
387,46.90
388,46.19
389,50.09
390,48.74
391,51.80
392,55.52
393,54.28
394,53.08
395,56.53
396,54.88
397,55.54
398,55.81
399,55.90
400,58.39
401,59.64
402,62.91
403,64.31
404,64.14
405,57.58
406,55.72
407,53.02
408,50.91
409,49.24
410,49.00
411,45.01
412,44.77
413,48.45
414,50.67
415,52.20
416,50.43
417,55.37
418,55.68
419,57.80
