Keuwl Accelerometer Data File
2021-06-01 15-05-52

Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.0000000,0.022702,0.405665,0.314130,0.330409,1.491116,-4.026146
0.0196533,0.105909,0.402079,-0.115039,-0.094150,1.895920,-8.945999
0.0394287,-0.048510,0.482889,-0.494510,-0.470171,2.219406,1.851532
0.0591125,-0.143084,0.413447,-0.419101,-0.403617,1.627100,6.695526
0.0787964,0.083173,0.262018,-0.337100,-0.327092,1.219756,-12.188965
0.0985413,0.351911,0.222513,-0.365222,-0.342800,2.062492,-28.104805
0.1181946,-0.097598,0.132731,0.343457,0.338198,-0.195979,-3.317551
0.1379700,-0.170016,0.069880,0.738507,0.728359,-0.769329,1.739746
0.1576538,-0.001223,-0.004339,0.555951,0.546552,-0.660412,-19.246506
0.1773681,0.148999,-0.051031,0.044187,0.039523,-0.087736,-33.861271
0.1970520,0.181928,0.115976,-0.322726,-0.317317,0.866310,-24.942974
0.2167663,0.055036,0.326059,-0.414310,-0.400408,1.517134,-8.227638
0.2364502,-0.223895,0.500239,-0.273044,-0.251382,1.988535,12.771797
0.2561951,-0.294528,0.628321,-0.060565,-0.027521,2.590572,17.349396
0.2758789,-0.196948,0.506830,-0.027041,-0.005578,1.907387,11.147072
0.2956238,0.080777,0.316477,-0.056369,-0.043491,1.354601,-10.123314
0.3153076,-0.020983,0.323664,0.161496,0.170651,1.039787,-3.362206
0.3350220,-0.216708,0.466120,0.369794,0.385800,1.459929,12.089516
0.3547363,-0.067675,0.474497,0.296781,0.316296,1.700869,2.850517
0.3744812,0.020917,0.564295,-0.053973,-0.021858,2.537320,-0.566147
0.3941650,0.146604,0.603785,-0.288013,-0.245283,3.178254,-6.038200
0.4138794,0.235791,0.638498,-0.304767,-0.253495,3.607758,-9.279503
0.4335632,0.142423,0.667246,-0.058169,-0.010401,3.349784,-4.565460
0.4533081,0.043653,0.689982,0.175260,0.219880,3.116714,0.390594
0.4730225,0.046643,0.640299,0.048963,0.089163,2.935659,-0.548721
0.4927063,0.110700,0.673227,-0.307162,-0.258363,3.488733,-3.010162
0.5124512,0.093946,0.675623,-0.289203,-0.240991,3.453435,-2.195366
0.5321045,-0.083834,0.752833,-0.144961,-0.094692,3.501330,7.212296
0.5518188,-0.263995,0.837824,-0.153934,-0.095661,3.878794,16.119713
0.5715637,-0.180194,0.849192,-0.191043,-0.130211,4.008717,12.345146
0.5912476,-0.219104,0.820475,-0.228152,-0.171154,3.848552,14.003197
0.6109619,-0.249026,0.779764,-0.240726,-0.188970,3.607343,15.289864
0.6306458,-0.347201,0.739069,-0.140765,-0.094796,3.290143,20.076454
0.6503906,-0.220889,0.578043,0.115415,0.142798,2.220231,13.037956
0.6701049,-0.152667,0.572672,0.199201,0.226505,2.191867,9.093422
0.6897888,-0.099398,0.776774,-0.282626,-0.228755,3.723303,8.158859
0.7094726,-0.060488,1.003016,-0.845263,-0.753264,5.605217,8.232101
0.7292175,-0.224490,1.176005,-0.932055,-0.813293,6.651938,15.175270
0.7489319,-0.434588,1.096995,-0.454410,-0.355231,5.688445,22.987114
0.7686462,-0.512408,0.967707,0.098050,0.173202,4.507373,26.612633
0.7883911,-0.447161,0.905466,0.155515,0.220708,4.068245,24.198494
0.8080749,-0.369342,0.984476,-0.142566,-0.064516,4.724052,20.686317
0.8277588,-0.253817,1.082636,-0.086902,0.004997,5.243631,16.099144
0.8474731,-0.086215,1.046717,0.130368,0.216928,4.945872,9.516350
0.8671875,-0.127520,1.073053,0.207593,0.296303,4.995622,11.237770
0.8869018,-0.165835,1.097590,0.306348,0.396949,5.025641,12.792313
0.9066162,-0.165835,1.148478,0.250684,0.349558,5.353760,12.973625
0.9263000,-0.135913,1.228678,0.050763,0.165360,5.998421,12.200020
0.9460143,-0.081439,1.237055,-0.189853,-0.069342,6.317864,10.364037
0.9657593,0.019727,1.096399,-0.144961,-0.044801,5.578210,5.908173
0.9854431,-0.068270,1.031748,0.148328,0.232962,4.863958,8.730812
1.0051880,-0.265780,0.985071,0.281201,0.355128,4.385492,16.431000
1.0248413,-0.439975,0.987467,0.297971,0.372746,4.413465,23.566368
1.0445862,-0.454943,0.998835,0.464368,0.539322,4.356944,24.128365
1.0643005,-0.644686,0.959330,0.469754,0.543703,4.314507,31.996918
1.0839539,-0.672213,0.838419,0.400327,0.460497,3.761275,34.435371
1.1036682,-0.395678,0.701960,0.714566,0.751359,2.558781,22.626106
1.1234436,-0.283740,0.594217,0.593656,0.619956,2.027025,16.698776
1.1430969,-0.325656,0.826456,0.227338,0.281081,3.533284,18.957352
1.1628418,-0.560885,0.964716,-0.083911,-0.006277,4.682621,28.599892
1.1824951,-0.672213,0.897684,0.360822,0.428684,4.104991,33.742142
1.2022095,-0.304095,0.544535,0.710370,0.731503,1.696102,17.834053
1.2219542,-0.113757,0.290751,0.334485,0.338555,0.619678,2.474152
1.2416687,-0.337024,0.306299,-0.201816,-0.197186,0.777134,20.290733
1.2614136,-0.496234,0.318277,-0.438846,-0.430874,1.092644,32.508766
1.2811279,-0.581240,0.148890,-0.655520,-0.656605,0.385472,44.045586
1.3008118,-0.597995,-0.185690,-0.521441,-0.536370,-1.250135,70.284363
1.3205260,-0.462710,-0.616064,-0.114429,-0.133041,-1.972075,162.524994
1.3402098,-0.281359,-0.860876,0.341657,0.329777,-0.927031,202.392685
1.3599548,-0.286135,-0.899771,0.527814,0.517509,-0.760033,201.519577
1.3796387,-0.319674,-0.741156,0.504468,0.487838,-1.636793,197.240707
1.3993225,-0.305896,-0.575964,0.106427,0.085858,-2.515676,200.844986
1.4190369,-0.210116,-0.387411,-0.314349,-0.335743,-2.846192,-59.783859
1.4387816,-0.149066,-0.178518,-0.511874,-0.529550,-1.738849,-17.063896
1.4584961,-0.345401,-0.100698,-0.368808,-0.385699,-1.601159,24.356384
1.4782104,-0.539340,-0.207846,-0.132983,-0.150228,-1.689771,66.734009
1.4979248,-0.597995,-0.379629,-0.033633,-0.051417,-1.803526,102.488525
