hora,geracao_kW,consumo_kW
0.00,0.000,0.384
0.25,0.000,0.411
0.50,0.000,0.375
0.75,0.000,0.329
1.00,0.000,0.377
1.25,0.000,0.297
1.50,0.000,0.380
1.75,0.000,0.284
2.00,0.000,0.290
2.25,0.000,0.424
2.50,0.000,0.383
2.75,0.000,0.249
3.00,0.000,0.262
3.25,0.000,0.312
3.50,0.000,0.413
3.75,0.000,0.312
4.00,0.000,0.332
4.25,0.000,0.361
4.50,0.000,0.295
4.75,0.000,0.384
5.00,0.000,0.267
5.25,0.000,0.413
5.50,0.000,0.429
5.75,0.000,0.572
6.00,0.000,1.193
6.25,0.121,1.651
6.50,0.298,1.960
6.75,0.502,1.670
7.00,0.725,1.147
7.25,0.960,0.644
7.50,1.205,0.443
7.75,1.454,0.373
8.00,1.706,0.358
8.25,1.956,0.391
8.50,2.203,0.369
8.75,2.444,0.419
9.00,2.677,0.335
9.25,2.899,0.252
9.50,3.109,0.289
9.75,1.652,0.269
10.00,1.742,0.303
10.25,3.646,0.394
10.50,3.789,0.381
10.75,3.913,0.398
11.00,4.015,0.428
11.25,4.095,0.509
11.50,2.077,0.650
11.75,2.094,0.816
12.00,4.200,1.011
12.25,4.188,1.232
12.50,4.153,1.166
12.75,4.095,1.013
13.00,4.015,0.978
13.25,3.913,0.834
13.50,3.789,0.641
13.75,3.646,0.504
14.00,3.484,0.417
14.25,3.304,0.281
14.50,3.109,0.264
14.75,2.899,0.363
15.00,2.677,0.316
15.25,2.444,0.403
15.50,1.102,0.360
15.75,1.956,0.301
16.00,1.706,0.333
16.25,1.454,0.294
16.50,1.205,0.313
16.75,0.960,0.449
17.00,0.725,0.495
17.25,0.502,0.470
17.50,0.298,0.652
17.75,0.121,0.682
18.00,0.000,0.940
18.25,0.000,1.339
18.50,0.000,1.600
18.75,0.000,1.842
19.00,0.000,2.175
19.25,0.000,2.459
19.50,0.000,2.540
19.75,0.000,2.470
20.00,0.000,2.270
20.25,0.000,1.895
20.50,0.000,1.558
20.75,0.000,1.234
21.00,0.000,0.991
21.25,0.000,0.738
21.50,0.000,0.617
21.75,0.000,0.386
22.00,0.000,0.408
22.25,0.000,0.363
22.50,0.000,0.387
22.75,0.000,0.345
23.00,0.000,0.387
23.25,0.000,0.393
23.50,0.000,0.309
23.75,0.000,0.395
