hora,temperatura_C
0.0000,21.69
0.0833,21.93
0.1667,21.71
0.2500,21.69
0.3333,21.63
0.4167,21.06
0.5000,21.08
0.5833,20.96
0.6667,21.13
0.7500,20.94
0.8333,21.22
0.9167,20.83
1.0000,21.12
1.0833,20.88
1.1667,20.63
1.2500,20.79
1.3333,20.09
1.4167,20.75
1.5000,20.47
1.5833,20.36
1.6667,20.40
1.7500,20.19
1.8333,20.35
1.9167,19.96
2.0000,20.41
2.0833,19.94
2.1667,20.07
2.2500,20.25
2.3333,20.18
2.4167,19.84
2.5000,20.13
2.5833,20.01
2.6667,20.21
2.7500,19.94
2.8333,20.13
2.9167,20.10
3.0000,19.93
3.0833,19.94
3.1667,19.92
3.2500,20.03
3.3333,19.97
3.4167,20.29
3.5000,19.98
3.5833,20.20
3.6667,20.19
3.7500,19.83
3.8333,20.26
3.9167,20.24
4.0000,20.32
4.0833,20.36
4.1667,20.17
4.2500,20.29
4.3333,20.49
4.4167,20.20
4.5000,20.24
4.5833,20.37
4.6667,20.64
4.7500,20.51
4.8333,20.69
4.9167,20.92
5.0000,20.74
5.0833,20.92
5.1667,20.88
5.2500,20.97
5.3333,21.05
5.4167,21.20
5.5000,21.40
5.5833,21.31
5.6667,21.46
5.7500,21.44
5.8333,21.87
5.9167,21.95
6.0000,21.86
6.0833,22.05
6.1667,21.83
6.2500,22.06
6.3333,21.95
6.4167,22.35
6.5000,22.26
6.5833,22.51
6.6667,22.70
6.7500,22.54
6.8333,22.96
6.9167,22.86
7.0000,23.10
7.0833,22.64
7.1667,23.32
7.2500,23.31
7.3333,23.33
7.4167,23.83
7.5000,23.66
7.5833,23.69
7.6667,23.94
7.7500,23.89
7.8333,24.12
7.9167,24.43
8.0000,24.41
8.0833,24.52
8.1667,24.91
8.2500,24.81
8.3333,24.94
8.4167,25.01
8.5000,25.27
8.5833,25.56
8.6667,25.43
8.7500,25.62
8.8333,26.03
8.9167,26.04
9.0000,26.11
9.0833,26.19
9.1667,26.56
9.2500,26.60
9.3333,26.54
9.4167,26.67
9.5000,26.80
9.5833,27.10
9.6667,26.91
9.7500,27.33
9.8333,27.38
9.9167,27.59
10.0000,27.64
10.0833,27.77
10.1667,27.86
10.2500,27.96
10.3333,28.04
10.4167,28.31
10.5000,28.24
10.5833,28.39
10.6667,28.47
10.7500,28.66
10.8333,28.74
10.9167,28.96
11.0000,28.92
11.0833,29.21
11.1667,29.37
11.2500,29.56
11.3333,29.65
11.4167,29.35
11.5000,29.70
11.5833,29.64
11.6667,29.86
11.7500,29.93
11.8333,30.13
11.9167,30.23
12.0000,30.13
12.0833,30.12
12.1667,30.57
12.2500,30.44
12.3333,30.76
12.4167,30.53
12.5000,30.86
12.5833,30.64
12.6667,30.95
12.7500,31.32
12.8333,31.15
12.9167,31.21
13.0000,31.02
13.0833,31.34
13.1667,31.22
13.2500,31.21
13.3333,31.43
13.4167,31.36
13.5000,31.40
13.5833,31.62
13.6667,31.77
13.7500,31.59
13.8333,31.88
13.9167,31.80
14.0000,31.76
14.0833,31.82
14.1667,31.84
14.2500,32.12
14.3333,31.89
14.4167,31.88
14.5000,31.83
14.5833,32.24
14.6667,32.19
14.7500,32.15
14.8333,32.14
14.9167,32.07
15.0000,32.00
15.0833,32.01
15.1667,31.86
15.2500,32.24
15.3333,31.96
15.4167,31.80
15.5000,31.97
15.5833,32.04
15.6667,32.02
15.7500,31.76
15.8333,31.62
15.9167,31.85
16.0000,31.98
16.0833,31.75
16.1667,31.60
16.2500,31.65
16.3333,31.43
16.4167,31.70
16.5000,31.50
16.5833,31.45
16.6667,31.37
16.7500,31.45
16.8333,31.45
16.9167,31.29
17.0000,31.22
17.0833,31.28
17.1667,31.02
17.2500,30.73
17.3333,30.98
17.4167,30.79
17.5000,30.66
17.5833,30.80
17.6667,30.52
17.7500,30.60
17.8333,30.29
17.9167,30.31
18.0000,30.39
18.0833,29.95
18.1667,30.11
18.2500,30.04
18.3333,30.03
18.4167,29.66
18.5000,29.66
18.5833,29.62
18.6667,29.51
18.7500,29.17
18.8333,29.13
18.9167,28.76
19.0000,29.04
19.0833,29.15
19.1667,28.67
19.2500,28.60
19.3333,28.45
19.4167,28.57
19.5000,28.26
19.5833,28.15
19.6667,27.87
19.7500,27.87
19.8333,27.61
19.9167,27.75
20.0000,27.55
20.0833,27.53
20.1667,27.37
20.2500,27.00
20.3333,27.15
20.4167,27.14
20.5000,26.90
20.5833,26.60
20.6667,26.58
20.7500,26.25
20.8333,26.22
20.9167,26.09
21.0000,25.98
21.0833,25.67
21.1667,25.39
21.2500,25.56
21.3333,25.27
21.4167,25.49
21.5000,25.18
21.5833,25.28
21.6667,25.29
21.7500,25.02
21.8333,24.88
21.9167,24.44
22.0000,24.28
22.0833,24.25
22.1667,24.24
22.2500,24.09
22.3333,24.01
22.4167,23.82
22.5000,23.53
22.5833,23.55
22.6667,23.43
22.7500,23.36
22.8333,23.17
22.9167,23.05
23.0000,23.22
23.0833,22.74
23.1667,22.61
23.2500,22.54
23.3333,22.50
23.4167,22.32
23.5000,22.07
23.5833,22.45
23.6667,22.09
23.7500,22.04
23.8333,22.10
23.9167,21.90
