tempo_s,amplitude
0.000000,2.0351
0.000125,1.7567
0.000250,0.1465
0.000375,1.5056
0.000500,0.2688
0.000625,0.8236
0.000750,2.5575
0.000875,2.2103
0.001000,1.3762
0.001125,1.1141
0.001250,1.0495
0.001375,0.9639
0.001500,-0.1518
0.001625,0.8755
0.001750,1.5869
0.001875,1.4995
0.002000,0.9812
0.002125,-0.2401
0.002250,0.7007
0.002375,-0.4415
0.002500,1.1010
0.002625,-0.2995
0.002750,-0.3132
0.002875,-1.0859
0.003000,-0.7856
0.003125,-0.0843
0.003250,-0.2487
0.003375,1.7609
0.003500,0.3380
0.003625,0.1236
0.003750,1.2264
0.003875,-0.8757
0.004000,0.4219
0.004125,-0.4448
0.004250,1.0102
0.004375,0.9981
0.004500,-0.4841
0.004625,-0.2385
0.004750,-0.7896
0.004875,-0.1546
0.005000,-1.0422
0.005125,1.1373
0.005250,-1.3489
0.005375,-1.2757
0.005500,-1.1793
0.005625,-0.1545
0.005750,-0.4937
0.005875,-0.8504
0.006000,-1.6388
0.006125,-2.0499
0.006250,-0.3246
0.006375,-0.7285
0.006500,-0.6899
0.006625,-1.2480
0.006750,-2.7164
0.006875,-0.1978
0.007000,-0.5336
0.007125,-1.7229
0.007250,-1.7056
0.007375,-1.8476
0.007500,0.5002
0.007625,0.8699
0.007750,-0.4002
0.007875,-0.0197
0.008000,1.1542
0.008125,-0.0674
0.008250,1.4678
0.008375,0.2056
0.008500,0.3635
0.008625,1.3769
0.008750,0.5099
0.008875,0.2580
0.009000,1.6211
0.009125,2.1650
0.009250,0.6128
0.009375,0.5129
0.009500,-0.5511
0.009625,1.1216
0.009750,2.3135
0.009875,0.1600
0.010000,-0.6162
0.010125,0.0526
0.010250,1.6347
0.010375,0.3432
0.010500,0.2519
0.010625,2.0523
0.010750,-0.3137
0.010875,0.7839
0.011000,0.5432
0.011125,-0.9656
0.011250,-2.1732
0.011375,-0.0858
0.011500,1.0019
0.011625,0.5002
0.011750,0.4956
0.011875,-0.5044
0.012000,1.1944
0.012125,0.2118
0.012250,0.0341
0.012375,-0.1613
0.012500,-1.2982
0.012625,0.2168
0.012750,-1.0371
0.012875,0.2628
0.013000,-0.5087
0.013125,-1.4361
0.013250,-0.9069
0.013375,-0.2647
0.013500,0.2686
0.013625,1.0394
0.013750,-0.0981
0.013875,0.0346
0.014000,1.2621
0.014125,-0.5442
0.014250,-0.0488
0.014375,0.3306
0.014500,-0.7627
0.014625,-0.4172
0.014750,-1.0487
0.014875,-1.7653
0.015000,0.0552
0.015125,0.6608
0.015250,-0.3931
0.015375,-0.7312
0.015500,-0.5046
0.015625,-1.7743
0.015750,-0.2538
0.015875,-1.2812
0.016000,-0.7925
0.016125,-1.0894
0.016250,-1.2456
0.016375,-0.6569
0.016500,-0.1543
0.016625,-1.8452
0.016750,-1.0061
0.016875,-1.9430
0.017000,1.2377
0.017125,0.2937
0.017250,0.6425
0.017375,0.0530
0.017500,0.1082
0.017625,3.2873
0.017750,2.8362
0.017875,0.0643
0.018000,0.8558
0.018125,1.8856
0.018250,1.9450
0.018375,1.6705
0.018500,0.5294
0.018625,0.5073
0.018750,1.9345
0.018875,0.1985
0.019000,0.2237
0.019125,0.6987
0.019250,1.5851
0.019375,0.2428
0.019500,1.2993
0.019625,1.9563
0.019750,1.2574
0.019875,0.8915
0.020000,1.0614
0.020125,-0.5815
0.020250,0.8329
0.020375,0.9333
0.020500,0.4451
0.020625,0.3359
0.020750,-0.8297
0.020875,0.4115
0.021000,0.2616
0.021125,-0.9390
0.021250,1.7480
0.021375,0.5064
0.021500,1.5752
0.021625,-0.5528
0.021750,0.9301
0.021875,1.1546
0.022000,-1.4973
0.022125,1.0212
0.022250,0.1670
0.022375,0.0844
0.022500,0.3295
0.022625,0.2987
0.022750,-0.4662
0.022875,-0.8009
0.023000,-0.8388
0.023125,-0.6886
0.023250,-0.8600
0.023375,0.0287
0.023500,-1.0213
0.023625,-2.2038
0.023750,-2.0630
0.023875,-0.4841
0.024000,-0.8283
0.024125,1.6076
0.024250,0.2857
0.024375,0.1150
0.024500,-1.1560
0.024625,-0.5140
0.024750,-1.3230
0.024875,-1.7539
0.025000,0.2852
0.025125,-0.9402
0.025250,0.0320
0.025375,-2.2337
0.025500,-1.9695
0.025625,-1.3644
0.025750,0.1620
0.025875,0.0393
0.026000,-0.6194
0.026125,-0.4184
0.026250,-0.5324
0.026375,0.8675
0.026500,1.2989
0.026625,1.7469
0.026750,1.5046
0.026875,0.6615
0.027000,1.3759
0.027125,2.1204
0.027250,1.9270
0.027375,1.4932
0.027500,0.6185
0.027625,1.4818
0.027750,0.1858
0.027875,2.6537
0.028000,0.6137
0.028125,1.2188
0.028250,-0.1016
0.028375,0.6229
0.028500,0.1263
0.028625,0.2065
0.028750,1.2808
0.028875,1.2220
0.029000,0.8115
0.029125,1.2647
0.029250,1.2204
0.029375,0.8892
0.029500,0.4800
0.029625,-0.3273
0.029750,-0.3341
0.029875,-0.4123
0.030000,0.6036
0.030125,-1.7343
0.030250,0.5283
0.030375,-0.2061
0.030500,-0.9236
0.030625,0.3235
0.030750,1.0808
0.030875,-0.9898
0.031000,-0.6192
0.031125,-0.2068
0.031250,-0.2982
0.031375,-0.4045
0.031500,0.4588
0.031625,-0.9331
0.031750,-0.9293
0.031875,-0.3429
0.032000,-1.1994
0.032125,-0.3256
0.032250,0.0058
0.032375,-0.5422
0.032500,-1.7238
0.032625,0.3305
0.032750,-2.5747
0.032875,0.4219
0.033000,0.9298
0.033125,-0.0466
0.033250,0.6177
0.033375,-0.8859
0.033500,-1.5299
0.033625,-1.9594
0.033750,0.5451
0.033875,-0.2838
0.034000,-1.3296
0.034125,-2.3147
0.034250,-1.5292
0.034375,-1.4092
0.034500,-1.5246
0.034625,-1.7493
0.034750,-1.9817
0.034875,-1.5216
0.035000,-0.9205
0.035125,-0.3432
