hora,nivel_m
0.00,1.950
0.25,1.988
0.50,2.071
0.75,1.994
1.00,1.947
1.25,1.977
1.50,2.012
1.75,2.046
2.00,2.034
2.25,2.068
2.50,2.123
2.75,2.038
3.00,2.062
3.25,2.080
3.50,2.098
3.75,2.041
4.00,2.040
4.25,2.051
4.50,2.062
4.75,2.053
5.00,2.057
5.25,2.130
5.50,2.060
5.75,2.121
6.00,2.161
6.25,2.291
6.50,2.288
6.75,2.245
7.00,2.297
7.25,2.261
7.50,2.314
7.75,2.353
8.00,2.484
8.25,2.585
8.50,2.701
8.75,2.689
9.00,2.754
9.25,2.973
9.50,3.003
9.75,3.070
10.00,3.210
10.25,3.202
10.50,3.420
10.75,3.502
11.00,3.661
11.25,3.626
11.50,3.790
11.75,3.764
12.00,3.893
12.25,4.092
12.50,4.039
12.75,4.097
13.00,4.112
13.25,4.185
13.50,4.194
13.75,4.144
14.00,4.164
14.25,4.345
14.50,4.337
14.75,4.271
15.00,4.289
15.25,4.388
15.50,4.277
15.75,4.442
16.00,4.384
16.25,4.385
16.50,4.443
16.75,4.338
17.00,4.428
17.25,4.361
17.50,4.356
17.75,4.312
18.00,4.404
18.25,4.385
18.50,4.408
18.75,4.305
19.00,4.318
19.25,4.516
19.50,4.490
19.75,4.344
20.00,4.481
20.25,4.477
20.50,4.422
20.75,4.445
21.00,4.391
21.25,4.394
21.50,4.483
21.75,4.379
22.00,4.419
22.25,4.427
22.50,4.474
22.75,4.332
23.00,4.355
23.25,4.395
23.50,4.475
23.75,4.404
24.00,4.411
