tempo_s,aceleracao_g
0.0000,2.0511
0.0005,-0.6221
0.0010,-0.7510
0.0015,1.2206
0.0020,1.0459
0.0025,2.0661
0.0030,0.3506
0.0035,1.5442
0.0040,1.9256
0.0045,1.3556
0.0050,-0.9795
0.0055,-0.4028
0.0060,0.5095
0.0065,0.3659
0.0070,2.1090
0.0075,0.0609
0.0080,1.5777
0.0085,0.3793
0.0090,1.7327
0.0095,-0.6085
0.0100,0.7567
0.0105,-0.3974
0.0110,1.9283
0.0115,1.6495
0.0120,0.9964
0.0125,3.0300
0.0130,1.0248
0.0135,-1.4917
0.0140,-0.0933
0.0145,0.7549
0.0150,1.5390
0.0155,0.9569
0.0160,-0.7469
0.0165,-0.1026
0.0170,1.6225
0.0175,-0.2384
0.0180,0.6053
0.0185,1.1521
0.0190,-0.7313
0.0195,0.0217
0.0200,-0.0934
0.0205,-1.9621
0.0210,1.2584
0.0215,-1.5286
0.0220,0.7791
0.0225,-1.1763
0.0230,-1.2156
0.0235,-0.5349
0.0240,-1.0764
0.0245,-2.6202
0.0250,0.1279
0.0255,-2.3600
0.0260,-0.3849
0.0265,-4.6280
0.0270,-1.0471
0.0275,-1.4592
0.0280,-2.2956
0.0285,-0.8047
0.0290,-1.8102
0.0295,-0.8671
0.0300,-1.6580
0.0305,-1.5908
0.0310,-0.6099
0.0315,-0.8217
0.0320,-1.1316
0.0325,-1.0705
0.0330,0.2152
0.0335,-0.0968
0.0340,-0.4246
0.0345,0.7978
0.0350,1.8988
0.0355,0.2932
0.0360,-0.0988
0.0365,0.0349
0.0370,1.7857
0.0375,0.0627
0.0380,1.8871
0.0385,0.1178
0.0390,1.6274
0.0395,0.3800
0.0400,-0.6765
0.0405,1.4695
0.0410,0.5449
0.0415,-0.4219
0.0420,1.1646
0.0425,1.9037
0.0430,-2.0629
0.0435,0.6870
0.0440,-0.4271
0.0445,-0.5106
0.0450,-0.7375
0.0455,0.0521
0.0460,1.0469
0.0465,-0.9360
0.0470,0.1764
0.0475,1.0665
0.0480,0.0213
0.0485,2.3474
0.0490,0.0012
0.0495,-0.8249
0.0500,-0.9628
0.0505,-0.2833
0.0510,-0.2482
0.0515,-1.1005
0.0520,1.3444
0.0525,-0.0078
0.0530,0.1293
0.0535,-1.5268
0.0540,-0.2350
0.0545,-0.2657
0.0550,-0.7451
0.0555,-1.8983
0.0560,0.8421
0.0565,-0.3209
0.0570,-1.5016
0.0575,-2.2722
0.0580,-0.7716
0.0585,-0.7867
0.0590,-0.7349
0.0595,-1.9749
0.0600,-0.8805
0.0605,-2.2447
0.0610,-1.3598
0.0615,-0.7731
0.0620,-1.0064
0.0625,-1.2395
0.0630,-2.4023
0.0635,0.8137
0.0640,-0.4329
0.0645,-1.9317
0.0650,0.2178
0.0655,-0.2340
0.0660,0.4485
0.0665,-0.1268
0.0670,1.6916
0.0675,-0.0381
0.0680,-2.1893
0.0685,0.8126
0.0690,1.0203
0.0695,0.6701
0.0700,0.8471
0.0705,-0.7299
0.0710,2.6226
0.0715,1.0393
0.0720,1.5872
0.0725,0.5239
0.0730,1.8567
0.0735,0.1575
0.0740,-1.2801
0.0745,0.0030
0.0750,-0.8293
0.0755,0.9827
0.0760,-0.3453
0.0765,0.0837
0.0770,-0.0056
0.0775,1.5725
0.0780,0.4970
0.0785,0.3026
0.0790,-0.4150
0.0795,0.3278
0.0800,0.0547
0.0805,1.2135
0.0810,0.6813
0.0815,1.2562
0.0820,-0.8522
0.0825,1.6469
0.0830,-1.1327
0.0835,0.5281
0.0840,0.6431
0.0845,2.4845
0.0850,-0.0379
0.0855,0.0391
0.0860,-1.2894
0.0865,-0.6199
0.0870,-1.0013
0.0875,-0.4635
0.0880,-0.4709
0.0885,-1.5005
0.0890,-2.7324
0.0895,-1.1877
0.0900,1.1772
0.0905,-0.5779
0.0910,-0.7378
0.0915,-0.9195
0.0920,-1.7580
0.0925,-1.1807
0.0930,-1.5622
0.0935,-1.1772
0.0940,0.0716
0.0945,-1.3170
0.0950,-0.4504
0.0955,-0.9821
0.0960,-1.0131
0.0965,0.1531
0.0970,-0.7357
0.0975,-0.5316
0.0980,-0.9759
0.0985,-1.2110
0.0990,-0.3247
0.0995,1.1514
0.1000,-0.4846
0.1005,0.2469
0.1010,0.5528
0.1015,-0.5732
0.1020,1.3511
0.1025,0.4667
0.1030,-0.7622
0.1035,1.8105
0.1040,1.8969
0.1045,0.6941
0.1050,1.4323
0.1055,-0.1217
0.1060,0.3194
0.1065,1.4680
0.1070,-0.8310
0.1075,0.9952
0.1080,0.7567
0.1085,-0.0125
0.1090,-0.1071
0.1095,0.9969
0.1100,1.4912
0.1105,-0.0084
0.1110,1.2628
0.1115,-1.0924
0.1120,1.6890
0.1125,0.7627
0.1130,-0.9590
0.1135,-0.4706
0.1140,1.5495
0.1145,-1.0201
0.1150,-0.3179
0.1155,-0.4605
0.1160,1.2176
0.1165,1.2332
0.1170,-0.1719
0.1175,0.0081
0.1180,-0.2297
0.1185,-0.6837
0.1190,0.0088
0.1195,-0.7227
0.1200,0.9228
0.1205,1.4305
0.1210,-1.3182
0.1215,0.1908
0.1220,-1.1219
0.1225,-0.5033
0.1230,-2.0500
0.1235,0.1541
0.1240,-1.4383
0.1245,-1.1519
0.1250,-0.9245
0.1255,-1.1057
0.1260,-1.1870
0.1265,-2.3063
0.1270,-1.8046
0.1275,-2.4310
0.1280,0.0090
0.1285,-0.7148
0.1290,-1.8469
0.1295,-0.7385
0.1300,-1.3961
0.1305,0.1656
0.1310,0.3439
0.1315,0.2598
0.1320,-0.7372
0.1325,2.3436
0.1330,1.3703
0.1335,1.1297
0.1340,-1.2560
0.1345,0.3486
0.1350,0.4927
0.1355,0.0804
0.1360,1.0083
0.1365,0.8031
0.1370,-0.0488
0.1375,0.9999
0.1380,0.6482
0.1385,1.2017
0.1390,1.6177
0.1395,1.1307
0.1400,1.7391
0.1405,1.1952
0.1410,1.0966
0.1415,1.8767
0.1420,2.0345
0.1425,2.3664
0.1430,-0.2179
0.1435,-0.1003
0.1440,1.9376
0.1445,-0.7782
0.1450,0.8460
0.1455,3.8801
0.1460,-1.1373
0.1465,-0.1582
0.1470,-0.8572
0.1475,0.6650
0.1480,0.1917
0.1485,-0.4626
0.1490,2.6104
0.1495,3.2117
0.1500,2.2868
0.1505,-1.7039
0.1510,-0.0755
0.1515,-0.6423
0.1520,0.5532
0.1525,-0.8501
0.1530,0.6092
0.1535,-1.6061
0.1540,-0.7289
0.1545,-2.1030
0.1550,-1.4068
0.1555,0.1871
0.1560,-2.2755
0.1565,-1.3679
0.1570,-0.7207
0.1575,-0.1318
0.1580,0.3531
0.1585,-0.3157
0.1590,0.5916
0.1595,-1.8090
0.1600,1.0195
0.1605,-0.5159
0.1610,-1.1834
0.1615,-1.1577
0.1620,-0.5581
0.1625,-2.7976
0.1630,-1.6510
0.1635,-0.4534
0.1640,-0.8364
0.1645,-0.5395
0.1650,0.4707
0.1655,1.3876
0.1660,-0.5642
0.1665,-0.2371
0.1670,-0.7674
0.1675,0.9892
0.1680,1.2686
0.1685,0.2297
0.1690,1.5259
0.1695,1.2586
0.1700,1.7484
0.1705,1.5778
0.1710,1.3091
0.1715,1.9323
0.1720,-0.0815
0.1725,1.8034
0.1730,1.3568
0.1735,0.6455
0.1740,0.7302
0.1745,1.2930
0.1750,-0.3331
0.1755,2.0050
0.1760,2.1182
0.1765,0.1012
0.1770,0.8482
0.1775,1.5355
0.1780,1.2112
0.1785,1.0311
0.1790,1.4425
0.1795,0.9229
0.1800,0.1091
0.1805,0.9230
0.1810,0.1091
0.1815,0.8496
0.1820,-1.0182
0.1825,1.3144
0.1830,0.6079
0.1835,-0.0544
0.1840,0.0596
0.1845,-1.0666
0.1850,-2.5564
0.1855,0.9290
0.1860,0.2263
0.1865,-1.2773
0.1870,0.6309
0.1875,-0.2472
0.1880,-1.3895
0.1885,-0.5037
0.1890,-2.0022
0.1895,-0.7829
0.1900,-0.5353
0.1905,-1.4071
0.1910,-0.4506
0.1915,-1.1937
0.1920,-3.3804
0.1925,-1.0143
0.1930,0.0073
0.1935,-2.0352
0.1940,-1.8504
0.1945,0.1146
0.1950,-1.4310
0.1955,-0.1133
0.1960,-1.3592
0.1965,-1.5071
0.1970,0.3560
0.1975,-0.5400
0.1980,-2.2494
0.1985,-1.3123
0.1990,0.7394
0.1995,1.5294
0.2000,-0.3119
0.2005,-0.8166
0.2010,2.2545
0.2015,0.6457
0.2020,0.9309
0.2025,1.5967
0.2030,1.5071
0.2035,0.8533
0.2040,1.6722
0.2045,2.0970
